,CDC2,CDC7,CDK10,CDK11,CDK2,CDK3,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL1,CDKL2,CDKL3,CDKL4,CDKL5,FLT3,FLT4,JAK1,JAK1-b,JAK2,JAK2-b,JAK3,JAK3-b,JNK1,JNK2,JNK3,LRRK1,LRRK2,PLK1,PLK2,PLK3,PLK4,RET,RIPK1,RIPK2,RIPK3
CDC2,1.0,0.6099677272269985,0.7833920064648939,0.7619867836817577,0.9393636708134051,0.9544056529874441,0.8043318169229514,0.8924512192784582,0.8174319946743173,0.7881474375572073,0.76639854838764,0.7821763982262413,0.7811832722685075,0.7817159061931169,0.7393320334414228,0.7714473903663254,0.7657542743776881,0.6736160945025531,0.6525130927766768,0.6766291356407861,0.5726926210324486,0.6893158550004497,0.5601399310137675,0.6755787155102909,0.5835050312306894,0.7082503941548092,0.7194022045161067,0.7176949400901037,0.619744265832538,0.6665442982247656,0.601184056514796,0.6219660985156309,0.6246144095680637,0.679271038785214,0.664426309374578,0.6587424298314029,0.6186793272158272,0.6640546246847981
CDC7,0.6099677272269985,1.0,0.6158693942759788,0.599976644912778,0.6153192312392471,0.6155271031325851,0.5936500343088431,0.6047022803920817,0.5985806886729702,0.6341664048525558,0.599976644912778,0.620938769833135,0.592893975479651,0.6023108233961859,0.5983870247005376,0.5720862808802006,0.6021546094233431,0.5567324841663017,0.5459867758654672,0.5477568946580331,0.4971044331746262,0.5573648290071757,0.4668378287924294,0.5626515905246764,0.4911196222975096,0.6178462103583005,0.6103768787619877,0.6084016644230058,0.5073225917447042,0.5505308066319701,0.5198995503324765,0.5467968615726877,0.5392342919770388,0.570551035208172,0.5458260878694845,0.5593112556001217,0.5171321713482467,0.5674972732452426
CDK10,0.7833920064648939,0.6158693942759788,1.0,0.7460784419158828,0.7787659681443994,0.7867473863936874,0.7700054739805062,0.7691137100069568,0.7544471420426805,0.751405207518311,0.7474649258005622,0.8008034498936543,0.7267046065374748,0.7091279432173839,0.6934472769282806,0.7208912979041803,0.7536688990207324,0.6391662849580232,0.6320039567173426,0.6265179946498103,0.5645985358044466,0.654137533434373,0.5623973985720561,0.6445097940479564,0.5602885790083918,0.6863766856789605,0.6910438944050743,0.6923835799155856,0.6088047419458587,0.6586245675774591,0.6270214444767571,0.6247301301543329,0.6243843402168414,0.695544376420973,0.6450775429927761,0.6517259184944817,0.599554911558792,0.6558153300132189
CDK11,0.7619867836817577,0.599976644912778,0.7460784419158828,1.0,0.7501577435414886,0.7535395647062999,0.7579139478578487,0.7433267108874669,0.7418687576837594,0.7445495638833408,0.9955882352941177,0.7630494873763338,0.7102256790718139,0.7043299464729901,0.6992924359999149,0.7116996758067787,0.7012319971612536,0.6126140740675593,0.5904881927162323,0.5970640734958597,0.5424636122303126,0.6162130125026201,0.5318357503685764,0.6174106709908573,0.5337108241024656,0.6682983424034398,0.6721665683134721,0.6733311236328521,0.5888647621991235,0.6374597635176465,0.5956145878103786,0.628214503121211,0.6201657160929464,0.6379543026192309,0.6210093105710346,0.660408969145643,0.5700437824604645,0.6144360723174733
CDK2,0.9393636708134051,0.6153192312392471,0.7787659681443994,0.7501577435414886,1.0,0.969846043745203,0.8119146704999048,0.8834758004470212,0.832773005671592,0.8033329370982616,0.7515442274261681,0.7857938778432318,0.7919284315306493,0.7911895209311999,0.7442189881237078,0.7791672688072642,0.7621330618998403,0.6646711744559585,0.6577967000970972,0.6614578058471283,0.5807435016491536,0.6754798757888077,0.5544004501135248,0.6735233131940983,0.5835536423486513,0.7191220787831557,0.7253656492104898,0.7251289730197809,0.6148799014541321,0.6600362546284767,0.5997320441918891,0.617703687049539,0.6172388450460323,0.6862898472968058,0.6731277329142977,0.6620985040263404,0.6198047932374037,0.6601218939436501
CDK3,0.9544056529874441,0.6155271031325851,0.7867473863936874,0.7535395647062999,0.969846043745203,1.0,0.8276915116999791,0.9016243276970566,0.8485498468716661,0.8015104211515652,0.7535395647062999,0.793121701321278,0.8048380033318785,0.797527500001586,0.7495513689129244,0.7920768406084935,0.7714765303480239,0.6762300547384373,0.6523375437364624,0.6676123052373983,0.5822473488882561,0.6830885338731607,0.5662481626481435,0.6683710022261391,0.5796595371955904,0.7171147872068218,0.7219718737494762,0.7217351975587674,0.6223138304057049,0.6676673244072147,0.6023342475214217,0.6150406391812182,0.6220465289133107,0.6885418998795592,0.664966650760043,0.6604231102759555,0.6187793433714758,0.6628707518226489
CDK4,0.8043318169229514,0.5936500343088431,0.7700054739805062,0.7579139478578487,0.8119146704999048,0.8276915116999791,1.0,0.8205093542688654,0.9170051234694284,0.75463355554846,0.7579139478578487,0.75322236072268,0.745134788011551,0.7382965822313283,0.7407209434849122,0.7427415849287493,0.7478884882599505,0.6672921344521415,0.640656255193948,0.6655081535376931,0.5703177450220677,0.6745826501755404,0.5733445471605056,0.6680446731858793,0.5896234892774642,0.6900475388363642,0.6949046253790188,0.6946679491883099,0.6426938575844318,0.6692227418202841,0.5905931148926138,0.5998980580820531,0.5961534217087949,0.6516342330510295,0.6574506552262647,0.6973344832977757,0.6174096315326646,0.6584186033050449
CDK5,0.8924512192784582,0.6047022803920817,0.7691137100069568,0.7433267108874669,0.8834758004470212,0.9016243276970566,0.8205093542688654,1.0,0.8398707092269794,0.7675774991354906,0.7433267108874669,0.782138695097586,0.7816610614600563,0.7656081388804352,0.7446009732778571,0.7718410752072595,0.7443791326425383,0.6658216084368423,0.6470968885835192,0.6582906221194809,0.5796867336010396,0.6620360659325393,0.5672474798229091,0.6576358028686781,0.5997635474802587,0.695514013216209,0.7003710997588635,0.7001344235681547,0.6178578405921474,0.636728624591243,0.6077950730711003,0.6101917030061877,0.6295399940893425,0.6690500853607553,0.649479901514722,0.6566110251328634,0.6109222654910104,0.6779577287731183
CDK6,0.8174319946743173,0.5985806886729702,0.7544471420426805,0.7418687576837594,0.832773005671592,0.8485498468716661,0.9170051234694284,0.8398707092269794,1.0,0.75179858445302,0.7418687576837594,0.7670911365741692,0.7617571268648706,0.7522512946098885,0.7346737850182194,0.7578933355467748,0.7460829446676276,0.6742916245395478,0.667512278940341,0.6782386145132736,0.5704927594113068,0.6789403828504172,0.5890985021020643,0.6740518262247573,0.5949271776926793,0.6909931692867223,0.6958502558293768,0.6956135796386679,0.6440095798328294,0.6816955938029414,0.6135675602798027,0.6118430954673786,0.596960902575161,0.6644123537114077,0.682330118174003,0.6921171692204215,0.6149168660799187,0.6592139954133758
CDK7,0.7881474375572073,0.6341664048525558,0.751405207518311,0.7445495638833408,0.8033329370982616,0.8015104211515652,0.75463355554846,0.7675774991354906,0.75179858445302,1.0,0.7445495638833408,0.7740416883134973,0.7190314417045294,0.7256218900311149,0.7112984245715153,0.7097787932196258,0.7335882391339851,0.6537330078449589,0.6501154316034521,0.6286132489300551,0.5719520022445208,0.6376728084851163,0.5516256537584286,0.6290994916597106,0.5888199499420983,0.6951800351670047,0.6904532868535066,0.6916178421728865,0.63166562336756,0.6774915934529973,0.6253031369624862,0.6207126867716534,0.6388256697168232,0.7012490247293404,0.6674545086540437,0.6665649862368286,0.6244207870083393,0.6782384653934536
